open,high,low,close,time
1.08985,1.09428,1.0879,1.09349,1549756800.0
1.0935,1.09639,1.0904,1.09634,1552176120.0
1.09634,1.09992,1.09408,1.09749,1554854580.0
1.09751,1.0999,1.0957,1.09816,1562716980.0
1.09816,1.10004,1.09619,1.09724,1565395380.0
1.09725,1.09958,1.09409,1.09594,1568073840.0
1.09595,1.099,1.09548,1.09828,1570665840.0
1.09828,1.10337,1.09797,1.10105,1573344240.0
1.10106,1.10626,1.10007,1.10296,1571011740.0
1.10298,1.10426,1.10128,1.10222,1571098320.0
1.10222,1.10459,1.09912,1.10321,1571184720.0
1.10321,1.10855,1.10223,1.10738,1571271120.0
1.10739,1.11398,1.1065,1.1126,1571357580.0
1.11259,1.11719,1.11145,1.11578,1571616840.0
1.11578,1.11793,1.11386,1.11507,1571703240.0
1.11506,1.11568,1.11176,1.1126,1571789700.0
1.1126,1.11405,1.11061,1.11311,1571876100.0
1.11309,1.11627,1.1093,1.11031,1571962500.0
1.1103,1.11229,1.10729,1.10828,1572221940.0
1.10827,1.11065,1.1076,1.10982,1572308400.0
1.10983,1.11183,1.10735,1.11072,1572394860.0
1.11071,1.11579,1.10801,1.11573,1572481260.0
1.11574,1.11755,1.11314,1.11498,1547166120.0
1.11499,1.11718,1.11281,1.11633,1554945780.0
1.11633,1.11753,1.11218,1.11288,1557537960.0
1.11288,1.11401,1.10635,1.10733,1560216360.0
1.10734,1.10928,1.10651,1.10665,1562808480.0
1.10663,1.10914,1.1036,1.10505,1565486940.0
1.10505,1.10554,1.10163,1.102,1573435800.0
1.102,1.1043,1.1017,1.10307,1576028040.0
1.10308,1.10385,1.10025,1.10119,1573608840.0
1.1012,1.10203,1.09953,1.1005,1573695240.0
1.1005,1.10274,1.0989,1.10243,1573781700.0
1.10243,1.10577,1.10145,1.10571,1574041200.0
1.10572,1.10899,1.10539,1.10676,1574127720.0
1.10676,1.10839,1.10643,1.1072,1574214300.0
1.10721,1.10813,1.1053,1.10766,1574300700.0
1.10767,1.10969,1.10522,1.10635,1574387100.0
1.10635,1.10872,1.10143,1.10235,1574646420.0
1.10236,1.10321,1.10035,1.10104,1574732820.0
1.10104,1.10256,1.10071,1.10156,1574819220.0
1.10156,1.1018,1.09922,1.10061,1574905620.0
1.10061,1.10179,1.10003,1.10112,1574992260.0
1.10113,1.10282,1.09811,1.10188,1549936320.0
1.10187,1.10907,1.10029,1.10718,1552355640.0
1.10719,1.10934,1.1066,1.10781,1555034160.0
1.10782,1.11161,1.10666,1.10836,1557626280.0
1.10836,1.1108,1.10793,1.11065,1560304740.0
1.11066,1.11097,1.10398,1.10565,1568253780.0
1.10565,1.10779,1.10533,1.10675,1570845780.0
1.10675,1.10977,1.1065,1.10952,1573524180.0
1.10952,1.11448,1.10701,1.11386,1576116240.0
1.11387,1.11995,1.11029,1.11767,1576202640.0
1.11766,1.1186,1.1112,1.11297,1576461840.0
1.11296,1.11581,1.11261,1.11397,1576548240.0
1.11396,1.11746,1.11293,1.11407,1576634700.0
1.11406,1.11426,1.11105,1.11241,1576721160.0
1.11242,1.11442,1.11072,1.11144,1576807620.0
1.11145,1.11236,1.10662,1.10773,1577067000.0
1.10773,1.10958,1.10699,1.10874,1577153400.0
1.10874,1.10934,1.1069,1.10845,1577244060.0
1.10835,1.11049,1.1073,1.11044,1577381700.0
1.11044,1.11809,1.10953,1.11809,1577468400.0
1.11808,1.12207,1.11709,1.12102,1577727780.0
1.12102,1.12391,1.11963,1.12253,1577814240.0
1.12254,1.12294,1.11635,1.11709,1580579160.0
1.11708,1.11798,1.11249,1.11718,1583085000.0
1.11718,1.12055,1.11523,1.11919,1591034040.0
1.11923,1.11989,1.11335,1.11436,1593626100.0
1.11435,1.11682,1.11414,1.11495,1596256440.0
