open,high,low,close,time
1.08985,1.09008,1.08856,1.08865,1547092800.0
1.08865,1.0894,1.0879,1.08899,1547107200.0
1.08899,1.09078,1.08851,1.08985,1547121600.0
1.08985,1.09345,1.08845,1.09307,1547136000.0
1.09307,1.09428,1.09251,1.09353,1547150400.0
1.09353,1.09373,1.09277,1.09349,1549756800.0
1.0935,1.09413,1.09327,1.09366,1549771200.0
1.09366,1.09369,1.09151,1.09151,1549785600.0
1.0915,1.09349,1.0904,1.09286,1549800000.0
1.09284,1.09583,1.09155,1.09512,1549814400.0
1.09512,1.09636,1.09457,1.09617,1549828800.0
1.09618,1.09639,1.09573,1.09634,1552176120.0
1.09634,1.09649,1.09549,1.09551,1552190520.0
1.09552,1.09589,1.09408,1.09434,1552204920.0
1.09435,1.09737,1.09431,1.09541,1552219320.0
1.09542,1.09992,1.09479,1.09887,1552233720.0
1.09887,1.09903,1.09653,1.09701,1552248120.0
1.09701,1.0976,1.09625,1.09749,1554854580.0
1.09751,1.09838,1.09749,1.0977,1554868980.0
1.0977,1.09781,1.09642,1.09718,1554883380.0
1.09718,1.09898,1.09704,1.09784,1554897780.0
1.09783,1.0999,1.0957,1.09749,1554912180.0
1.09747,1.09857,1.09722,1.09819,1554926580.0
1.09819,1.09838,1.09728,1.09816,1562716980.0
1.09816,1.09899,1.09777,1.09792,1562731380.0
1.09792,1.09838,1.09636,1.09712,1562745780.0
1.09712,1.09903,1.09619,1.09895,1562760180.0
1.09896,1.10004,1.09832,1.09833,1562774580.0
1.09832,1.09847,1.0969,1.09723,1562788980.0
1.09723,1.09731,1.09682,1.09724,1565395380.0
1.09725,1.09783,1.09648,1.09743,1565409780.0
1.09743,1.09851,1.09735,1.09818,1565424180.0
1.09818,1.09958,1.09795,1.09855,1565438580.0
1.09855,1.09926,1.09449,1.09491,1565452980.0
1.09492,1.09622,1.09409,1.09554,1565467380.0
1.09555,1.09612,1.09507,1.09594,1568073840.0
1.09595,1.09656,1.09548,1.09631,1568088240.0
1.0963,1.09837,1.09557,1.09817,1568102640.0
1.09816,1.099,1.09734,1.09791,1568117040.0
1.09791,1.09837,1.09715,1.09769,1568131440.0
1.09768,1.09819,1.09701,1.09736,1568145840.0
1.09735,1.09896,1.09678,1.09828,1570665840.0
1.09828,1.09932,1.09797,1.0988,1570680240.0
1.0988,1.10194,1.09831,1.10171,1570694640.0
1.10171,1.10337,1.10121,1.10268,1570709040.0
1.10269,1.10331,1.1002,1.10223,1570723440.0
1.10225,1.10235,1.10028,1.1007,1570737840.0
1.1007,1.10112,1.10041,1.10105,1573344240.0
1.10106,1.10178,1.10046,1.10157,1573358640.0
1.10157,1.10227,1.10089,1.10119,1573373040.0
1.10119,1.10624,1.10007,1.10513,1573387440.0
1.10514,1.10626,1.10255,1.10376,1573401840.0
1.10377,1.10516,1.10308,1.10393,1573416240.0
1.10393,1.104,1.1025,1.10296,1571011740.0
1.10298,1.10322,1.10241,1.10319,1571026140.0
1.10319,1.10353,1.10128,1.10177,1571040540.0
1.10178,1.10426,1.10178,1.1029,1571054940.0
1.1029,1.10319,1.10176,1.10244,1571069340.0
1.10243,1.10325,1.10232,1.10247,1571083740.0
1.10247,1.1029,1.10222,1.10222,1571098320.0
1.10222,1.1033,1.10214,1.10326,1571112720.0
1.10326,1.10459,1.10126,1.10277,1571127120.0
1.10277,1.10305,1.10025,1.10072,1571141520.0
1.10073,1.10445,1.09912,1.10333,1571155920.0
1.10332,1.10381,1.10153,1.10307,1571170320.0
1.10307,1.10352,1.10266,1.10321,1571184720.0
1.10321,1.10331,1.10238,1.10303,1571199120.0
